steam_id,appid,game_name,playtime_forever,playtime_2weeks,engagement_ratio,game_count,recent_active_games,avg_playtime,top_game_ratio,status,status_label
76561198144065361,359550,Tom Clancy's Rainbow Six Siege,163714,0,0.0,145,1,3775.9,0.299,2,churn
76561198147086747,570,Dota 2,245536,0,0.0,33,0,7739.3,0.9614,2,churn
76561198153979408,730,Counter-Strike 2,24191,0,0.0,57,0,1063.16,0.3992,2,churn
76561198154753598,730,Counter-Strike 2,194104,0,0.0,91,4,5778.97,0.3691,2,churn
76561198163208017,730,Counter-Strike 2,69184,0,0.0,162,1,2652.4,0.161,2,churn
76561198165978751,730,Counter-Strike 2,150514,780,0.0052,143,2,2405.4,0.4376,0,ativo
76561198182328307,570,Dota 2,773151,763,0.001,17,1,46341.29,0.9814,0,ativo
76561198214206704,730,Counter-Strike 2,35464,0,0.0,119,3,1252.38,0.238,2,churn
76561198219901861,730,Counter-Strike 2,115883,484,0.0042,135,4,1921.56,0.4467,0,ativo
76561198240590952,730,Counter-Strike 2,48159,0,0.0,28,1,2032.07,0.8464,2,churn
76561198261367342,730,Counter-Strike 2,164869,221,0.0013,112,5,2483.34,0.5928,1,possivel_churn
76561198271407378,730,Counter-Strike 2,94753,124,0.0013,8,1,12206.62,0.9703,1,possivel_churn
76561198353052828,730,Counter-Strike 2,124615,306,0.0025,13,1,9715.54,0.9866,0,ativo
76561199076680785,730,Counter-Strike 2,10384,0,0.0,22,0,616.0,0.7662,2,churn
76561199263438272,730,Counter-Strike 2,9492,390,0.0411,71,4,654.87,0.2041,0,ativo
76561199518143116,730,Counter-Strike 2,27350,310,0.0113,8,1,3702.75,0.9233,0,ativo
76561197986147937,730,Counter-Strike 2,69810,172,0.0025,63,5,4171.3,0.2656,1,possivel_churn
76561198013948224,570,Dota 2,22613,0,0.0,540,8,567.16,0.0738,2,churn
76561198042858339,730,Counter-Strike 2,363242,139,0.0004,146,7,7156.48,0.3477,1,possivel_churn
76561198044604813,570,Dota 2,21455,0,0.0,329,5,600.83,0.1085,2,churn
76561198046863964,730,Counter-Strike 2,61195,0,0.0,94,1,1637.41,0.3976,2,churn
76561198048581328,2767030,Marvel Rivals,185650,3095,0.0167,229,2,2844.78,0.285,0,ativo
76561198053582797,440,Team Fortress 2,149264,0,0.0,455,2,762.39,0.4303,2,churn
76561198059038343,730,Counter-Strike 2,346076,391,0.0011,97,3,4530.53,0.7875,0,ativo
76561198060266085,570,Dota 2,104613,0,0.0,148,0,1298.81,0.5442,2,churn
76561198072121513,730,Counter-Strike 2,51198,375,0.0073,557,7,810.09,0.1135,0,ativo
76561198073074075,730,Counter-Strike 2,292149,808,0.0028,127,3,4178.07,0.5506,0,ativo
76561198077955446,730,Counter-Strike 2,31085,0,0.0,157,1,797.1,0.2484,2,churn
76561198080527267,730,Counter-Strike 2,131954,0,0.0,91,0,2162.18,0.6706,2,churn
76561198136223849,2767030,Marvel Rivals,28494,228,0.008,182,3,821.3,0.1906,1,possivel_churn
76561198019779167,440,Team Fortress 2,255915,0,0.0,152,8,9049.46,0.186,2,churn
76561198046023791,381210,Dead by Daylight,104624,88,0.0008,611,4,2708.03,0.0632,1,possivel_churn
76561198055755085,381210,Dead by Daylight,35238,0,0.0,977,5,767.88,0.047,2,churn
76561198063895318,381210,Dead by Daylight,27724,0,0.0,697,4,688.08,0.0578,2,churn
76561198072975967,440,Team Fortress 2,310714,0,0.0,202,5,8711.66,0.1766,2,churn
76561198128842459,252950,Rocket League,39214,0,0.0,174,0,1024.71,0.2199,2,churn
76561198836618755,381210,Dead by Daylight,112539,0,0.0,251,0,1714.48,0.2615,2,churn
76561198035499016,440,Team Fortress 2,523760,450,0.0009,393,11,4004.14,0.3328,0,ativo
76561198045722844,440,Team Fortress 2,205221,0,0.0,654,6,1605.81,0.1954,2,churn
76561198046161327,570,Dota 2,207812,20,0.0001,188,3,2530.05,0.4369,1,possivel_churn
76561198046676116,440,Team Fortress 2,229536,0,0.0,449,6,1579.66,0.3236,2,churn
76561198060664180,440,Team Fortress 2,345644,0,0.0,284,10,2636.94,0.4615,2,churn
76561198065913134,440,Team Fortress 2,117030,0,0.0,161,4,3279.69,0.2216,2,churn
76561198066381862,440,Team Fortress 2,99538,0,0.0,218,0,607.82,0.7512,2,churn
76561198082988498,440,Team Fortress 2,409564,975,0.0024,286,2,3326.7,0.4305,0,ativo
76561198090011400,2767030,Marvel Rivals,22844,0,0.0,200,3,898.22,0.1272,2,churn
76561198093885652,440,Team Fortress 2,249477,0,0.0,688,4,2036.46,0.1781,2,churn
76561198103064451,570,Dota 2,254231,110,0.0004,382,8,2717.03,0.2449,1,possivel_churn
76561198103655589,730,Counter-Strike 2,176248,2103,0.0119,499,7,2043.62,0.1728,0,ativo
76561198110432380,440,Team Fortress 2,67849,0,0.0,129,2,3020.33,0.1741,2,churn
76561198112951373,440,Team Fortress 2,132187,0,0.0,125,2,2935.46,0.3602,2,churn
76561198116237317,730,Counter-Strike 2,478457,0,0.0,241,0,3870.83,0.5129,2,churn
76561198117507118,730,Counter-Strike 2,73809,0,0.0,178,3,1575.8,0.2631,2,churn
76561198123313837,730,Counter-Strike 2,216727,115,0.0005,193,1,2048.94,0.5481,1,possivel_churn
76561198142938576,440,Team Fortress 2,235628,0,0.0,65,3,4440.55,0.8164,2,churn
76561198169160916,381210,Dead by Daylight,161238,9964,0.0618,487,2,975.5,0.3394,0,ativo
76561198194710270,359550,Tom Clancy's Rainbow Six Siege,126888,0,0.0,104,5,4245.65,0.2874,2,churn
76561198199563287,440,Team Fortress 2,163276,0,0.0,191,3,3667.77,0.2331,2,churn
76561198201014973,730,Counter-Strike 2,29718,0,0.0,359,20,459.74,0.1801,2,churn
76561198285554132,440,Team Fortress 2,398768,261,0.0007,186,12,4775.27,0.449,1,possivel_churn
76561198336541717,381210,Dead by Daylight,523440,4422,0.0084,45,5,26637.89,0.4367,0,ativo
76561199002927840,381210,Dead by Daylight,221514,786,0.0035,311,5,1806.67,0.3942,0,ativo
76561198027049165,381210,Dead by Daylight,130714,1675,0.0128,312,4,1102.45,0.38,0,ativo
76561198046311843,730,Counter-Strike 2,8186,0,0.0,154,0,539.56,0.0985,2,churn
76561198072287526,730,Counter-Strike 2,75995,0,0.0,197,1,1626.44,0.2372,2,churn
76561198118045529,578080,PUBG: BATTLEGROUNDS,49714,0,0.0,420,9,2568.0,0.0461,2,churn
76561198211308139,2767030,Marvel Rivals,14232,136,0.0096,170,5,800.78,0.1045,1,possivel_churn
76561198286388715,444090,Paladins,184823,0,0.0,197,4,2379.98,0.3942,2,churn
76561198311800576,381210,Dead by Daylight,89612,0,0.0,187,0,2122.09,0.2258,2,churn
76561198928795483,730,Counter-Strike 2,24254,0,0.0,812,8,367.24,0.0813,2,churn
76561199096564609,359550,Tom Clancy's Rainbow Six Siege,31101,0,0.0,109,0,1616.99,0.1765,2,churn
76561198060724562,730,Counter-Strike 2,20817,0,0.0,503,0,223.3,0.1853,2,churn
76561198106541130,730,Counter-Strike 2,135955,0,0.0,816,2,897.94,0.1855,2,churn
76561198107571510,730,Counter-Strike 2,326037,3,0.0,461,6,1937.22,0.3651,1,possivel_churn
76561199477081656,2767030,Marvel Rivals,26850,0,0.0,62,9,1784.05,0.2427,2,churn
76561198033081279,570,Dota 2,186252,0,0.0,276,5,3138.1,0.215,2,churn
76561198040619137,730,Counter-Strike 2,197699,18,0.0001,846,6,1571.48,0.1487,1,possivel_churn
76561198077591692,730,Counter-Strike 2,67526,0,0.0,417,0,535.42,0.3024,2,churn
76561198089857895,730,Counter-Strike 2,60552,0,0.0,217,0,691.73,0.4034,2,churn
76561198800094335,252950,Rocket League,26950,0,0.0,70,0,1458.9,0.2639,2,churn
76561199062748765,381210,Dead by Daylight,50891,0,0.0,8,0,7537.62,0.8439,2,churn
76561199100510443,730,Counter-Strike 2,98254,0,0.0,97,6,1995.82,0.5075,2,churn
76561198037070504,440,Team Fortress 2,67865,0,0.0,137,2,2979.04,0.1663,2,churn
76561198042659114,730,Counter-Strike 2,65059,0,0.0,635,4,850.6,0.1205,2,churn
76561197961120866,730,Counter-Strike 2,164120,0,0.0,121,3,6309.62,0.215,2,churn
76561197970597660,570,Dota 2,118393,198,0.0017,494,7,1154.02,0.2077,1,possivel_churn
76561197996055189,730,Counter-Strike 2,107499,54,0.0005,1316,8,468.66,0.1743,1,possivel_churn
76561198003023182,730,Counter-Strike 2,190476,19,0.0001,322,4,2084.36,0.2838,1,possivel_churn
76561198004304851,578080,PUBG: BATTLEGROUNDS,49620,0,0.0,413,1,2158.98,0.0556,2,churn
76561198015128646,440,Team Fortress 2,141881,0,0.0,436,0,1120.81,0.2903,2,churn
76561198018462432,440,Team Fortress 2,183286,0,0.0,89,0,7082.57,0.2908,2,churn
76561198033774027,730,Counter-Strike 2,93983,104,0.0011,544,2,639.44,0.2702,1,possivel_churn
76561198035015340,440,Team Fortress 2,122757,0,0.0,1992,7,362.74,0.1699,2,churn
76561198035884508,730,Counter-Strike 2,227091,451,0.002,134,4,5564.55,0.3046,0,ativo
76561198036245773,730,Counter-Strike 2,357743,23,0.0001,246,4,3885.85,0.3742,1,possivel_churn
76561198042644877,440,Team Fortress 2,215099,0,0.0,780,10,1604.11,0.1719,2,churn
76561198043509804,730,Counter-Strike 2,63140,317,0.005,89,1,3312.12,0.2142,0,ativo
76561198043716833,440,Team Fortress 2,210009,0,0.0,144,0,3408.51,0.4279,2,churn
76561198044225201,730,Counter-Strike 2,67390,38,0.0006,464,1,1240.7,0.1171,1,possivel_churn
76561198044510804,570,Dota 2,321794,499,0.0016,287,5,6819.64,0.1644,0,ativo
76561198045775915,440,Team Fortress 2,118026,0,0.0,259,0,1800.07,0.2532,2,churn
76561198046066453,730,Counter-Strike 2,258664,351,0.0014,123,2,3986.79,0.5275,0,ativo
76561198055095271,730,Counter-Strike 2,589941,5523,0.0094,253,9,7454.25,0.3128,0,ativo
76561198062086132,440,Team Fortress 2,198823,0,0.0,570,9,1528.78,0.2282,2,churn
76561198068371614,730,Counter-Strike 2,108059,42,0.0004,259,7,3034.53,0.1375,1,possivel_churn
76561198078320453,730,Counter-Strike 2,138363,0,0.0,107,0,7640.88,0.1692,2,churn
76561198088775634,440,Team Fortress 2,789354,2204,0.0028,539,7,2996.08,0.4888,0,ativo
76561198090533981,570,Dota 2,324417,0,0.0,466,9,2088.28,0.3334,2,churn
76561198093075742,730,Counter-Strike 2,38500,0,0.0,169,0,1437.76,0.1584,2,churn
76561198117043712,730,Counter-Strike 2,83800,0,0.0,540,9,1174.01,0.1322,2,churn
76561198211270075,1808500,ARC Raiders,53567,0,0.0,291,4,410.01,0.449,2,churn
76561198264196248,252950,Rocket League,136966,197,0.0014,461,3,1590.34,0.1868,1,possivel_churn
76561198922953530,730,Counter-Strike 2,48052,0,0.0,2,0,24055.0,0.9988,2,churn
76561198087306713,730,Counter-Strike 2,719314,3036,0.0042,86,1,9494.78,0.8809,0,ativo
76561198093379464,578080,PUBG: BATTLEGROUNDS,20818,0,0.0,128,1,1038.0,0.1567,2,churn
76561198115227147,730,Counter-Strike 2,42712,0,0.0,67,0,1621.54,0.3931,2,churn
76561197992118746,570,Dota 2,62125,0,0.0,607,6,817.87,0.1251,2,churn
76561198088100129,730,Counter-Strike 2,183749,1496,0.0081,58,2,4193.81,0.7554,0,ativo
76561198138686005,730,Counter-Strike 2,14818,0,0.0,18,0,1845.39,0.4461,2,churn
76561198177986669,359550,Tom Clancy's Rainbow Six Siege,74542,0,0.0,101,6,4927.19,0.1498,2,churn
76561198070726103,730,Counter-Strike 2,557423,0,0.0,118,6,14203.82,0.3326,2,churn
76561198089266578,730,Counter-Strike 2,181803,0,0.0,445,4,1497.84,0.2728,2,churn
76561198114901411,440,Team Fortress 2,41228,0,0.0,111,7,1907.56,0.1947,2,churn
76561198146600071,730,Counter-Strike 2,91459,502,0.0055,230,10,1595.89,0.2492,0,ativo
76561198147977360,381210,Dead by Daylight,245061,377,0.0015,344,4,1850.36,0.385,0,ativo
76561198155790562,381210,Dead by Daylight,317413,0,0.0,140,9,6581.02,0.3445,2,churn
76561198230314820,359550,Tom Clancy's Rainbow Six Siege,40131,0,0.0,134,2,1710.22,0.1751,2,churn
76561198257847182,730,Counter-Strike 2,41502,914,0.022,81,7,2123.17,0.2413,0,ativo
76561198269951533,730,Counter-Strike 2,194489,0,0.0,266,8,2059.63,0.355,2,churn
76561198272709729,252950,Rocket League,54142,104,0.0019,85,2,2833.15,0.2248,1,possivel_churn
76561198809053635,730,Counter-Strike 2,77800,399,0.0051,58,4,3947.88,0.3398,0,ativo
76561198822033150,730,Counter-Strike 2,93085,724,0.0078,186,4,1552.13,0.3224,0,ativo
76561198993905094,359550,Tom Clancy's Rainbow Six Siege,27473,0,0.0,44,0,1014.61,0.6154,2,churn
76561199065275007,359550,Tom Clancy's Rainbow Six Siege,67629,350,0.0052,76,13,4711.39,0.1889,0,ativo
76561199076707025,730,Counter-Strike 2,112900,1042,0.0092,113,4,2434.08,0.4105,0,ativo
76561198050723109,252950,Rocket League,165345,384,0.0023,870,6,1399.92,0.1358,0,ativo
76561198052993676,730,Counter-Strike 2,50173,0,0.0,206,6,2262.35,0.1077,2,churn
76561198062765587,730,Counter-Strike 2,32917,895,0.0272,137,3,1633.88,0.1471,0,ativo
76561198067799685,730,Counter-Strike 2,94362,0,0.0,159,2,2782.89,0.2133,2,churn
76561198068183535,440,Team Fortress 2,35754,0,0.0,425,5,972.34,0.0865,2,churn
76561198078427026,730,Counter-Strike 2,601010,0,0.0,184,0,8952.44,0.3649,2,churn
76561198220445995,381210,Dead by Daylight,69435,4883,0.0703,647,7,723.83,0.1483,0,ativo
76561198011096727,440,Team Fortress 2,166422,0,0.0,310,0,2460.13,0.2182,2,churn
76561198044149056,730,Counter-Strike 2,66995,0,0.0,266,7,1850.33,0.1361,2,churn
76561198064671483,252950,Rocket League,94463,284,0.003,72,3,2685.08,0.4886,1,possivel_churn
76561198079254207,730,Counter-Strike 2,94163,0,0.0,245,4,1819.72,0.2112,2,churn
76561198093561094,730,Counter-Strike 2,194711,0,0.0,291,3,2087.98,0.3205,2,churn
76561198108660703,730,Counter-Strike 2,535471,2796,0.0052,157,2,5395.42,0.6321,0,ativo
76561198304235521,252950,Rocket League,112108,156,0.0014,132,2,1563.82,0.5431,1,possivel_churn
76561198044993549,440,Team Fortress 2,381298,0,0.0,249,2,3205.88,0.4777,2,churn
76561198061150824,730,Counter-Strike 2,6175,0,0.0,96,1,572.5,0.1124,2,churn
76561198087755196,440,Team Fortress 2,107492,0,0.0,353,2,1125.39,0.2706,2,churn
76561198119225233,440,Team Fortress 2,201824,0,0.0,72,0,8370.43,0.3349,2,churn
76561198172528266,578080,PUBG: BATTLEGROUNDS,57914,0,0.0,229,4,1288.74,0.1962,2,churn
76561198350910856,440,Team Fortress 2,191126,0,0.0,26,1,9222.58,0.7971,2,churn
76561198353828071,440,Team Fortress 2,125933,0,0.0,349,4,1713.66,0.2106,2,churn
76561198044014039,381210,Dead by Daylight,43725,0,0.0,281,0,940.64,0.1654,2,churn
76561198089050530,730,Counter-Strike 2,73513,0,0.0,164,4,1578.32,0.284,2,churn
76561198095443332,730,Counter-Strike 2,88080,0,0.0,131,2,2624.73,0.2562,2,churn
76561198142727081,381210,Dead by Daylight,41161,0,0.0,186,3,1440.44,0.1536,2,churn
76561198157690488,440,Team Fortress 2,72504,0,0.0,117,1,3168.09,0.1956,2,churn
76561198216905801,730,Counter-Strike 2,209878,436,0.0021,61,4,7087.84,0.4854,0,ativo
76561198274343139,730,Counter-Strike 2,97228,0,0.0,84,1,3300.89,0.3507,2,churn
76561198344700678,730,Counter-Strike 2,230973,1493,0.0065,61,4,5987.93,0.6323,0,ativo
76561198436607618,730,Counter-Strike 2,68576,0,0.0,53,0,4235.81,0.3055,2,churn
76561198441691229,730,Counter-Strike 2,20975,0,0.0,33,0,1052.94,0.6036,2,churn
76561198804172640,730,Counter-Strike 2,47020,98,0.0021,139,2,668.12,0.5063,1,possivel_churn
76561198853255813,381210,Dead by Daylight,84791,0,0.0,88,2,1963.18,0.4908,2,churn
76561198316911899,359550,Tom Clancy's Rainbow Six Siege,34502,0,0.0,196,7,2027.68,0.0868,2,churn
76561198416184366,730,Counter-Strike 2,116479,0,0.0,63,0,3224.13,0.5734,2,churn
76561197999277739,730,Counter-Strike 2,106793,211,0.002,226,16,2720.25,0.1737,1,possivel_churn
76561198062258359,570,Dota 2,78735,0,0.0,53,0,2897.98,0.5126,2,churn
76561198104552235,570,Dota 2,171980,0,0.0,20,0,9369.75,0.9177,2,churn
