feature,importance
playtime_2weeks,0.5552349881620028
engagement_ratio,0.3075363326478793
recent_active_games,0.06853024278913461
playtime_forever,0.0285813837306488
avg_playtime,0.015570556332098523
top_game_ratio,0.013204994102862088
game_count,0.011341502235373986
